trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
173,12.328681,120.195027,12,19,5,red,7,3.174079,15.433333,0
174,11.997291,330.546330,33,27,9,red,31,2.727419,14.083333,0
175,12.387479,341.590904,35,4,4,black,6,3.126885,15.929167,0
176,11.594259,328.501254,33,33,12,red,0,2.947328,15.320833,0
177,11.548074,199.385479,20,19,5,red,36,2.954954,14.625000,0
178,11.648637,298.918955,30,30,29,black,0,2.969127,14.775000,0
179,11.820675,160.035823,16,8,17,black,29,2.710797,13.562500,0
180,11.553316,271.861656,27,33,12,red,6,3.111736,16.445833,0
181,11.880776,140.589799,14,7,25,red,30,2.712194,15.070833,0
182,12.307708,280.223612,28,23,1,red,32,2.757355,16.095833,0
183,11.746031,152.318426,15,16,8,black,1,2.978427,14.720833,0
184,12.485253,306.430247,31,31,7,red,0,2.952991,15.191667,0
185,11.829058,34.684163,3,33,12,red,30,2.712744,16.070833,0
186,12.275013,96.546847,9,6,2,black,34,2.856483,14.579167,0
187,11.837040,294.837374,30,34,35,black,4,3.089890,15.504167,0
188,11.794846,209.197156,21,21,16,red,0,2.979196,14.620833,0
189,11.521719,247.513266,25,23,1,red,35,2.918249,14.737500,0
190,11.836740,112.641909,11,4,4,black,30,2.708443,15.175000,0
191,11.669301,265.711160,27,24,20,black,34,2.877897,14.587500,0
192,11.739964,327.020777,33,31,7,red,35,2.903237,15.066667,0
193,11.583253,137.054516,14,12,13,black,35,2.911055,14.429167,0
194,12.118988,202.585635,20,14,11,black,31,2.729005,14.362500,0
195,11.582700,116.934564,12,13,36,red,1,2.995773,17.258333,0
196,11.892408,300.372600,30,28,22,black,35,2.888646,14.725000,0
197,11.993394,329.460680,33,34,35,black,1,2.967321,14.954167,0
198,12.094221,303.770885,31,31,7,red,0,2.959452,15.500000,0
199,11.815542,196.289979,20,21,16,red,1,2.998491,14.933333,0
200,12.202586,85.443979,8,12,13,black,4,3.056995,14.937500,0
201,11.836834,356.788370,36,29,18,red,30,2.705062,14.304167,0
202,11.797345,222.447832,22,23,1,red,1,2.997164,14.958333,0
203,11.755583,182.211787,18,17,23,red,36,2.913672,14.745833,0
204,11.535661,66.509628,6,4,4,black,35,2.899888,14.804167,0
205,12.427490,341.480578,35,30,29,black,32,2.779740,15.933333,0
206,11.994256,126.382206,12,6,2,black,31,2.738624,15.995833,0
207,11.534939,304.121370,31,33,12,red,2,3.043250,15.150000,0
208,12.346975,121.797238,12,7,25,red,32,2.772086,14.941667,0
209,12.269207,288.476531,29,26,31,black,34,2.872334,14.520833,0
210,11.942866,259.682165,26,19,5,red,30,2.724521,14.991667,0
211,11.975397,117.428251,12,5,21,red,30,2.725829,15.804167,0
212,12.330465,256.962627,26,25,14,red,36,2.954531,14.858333,0
213,11.775381,308.831184,31,34,35,black,3,3.047391,15.287500,0
214,12.230031,60.437520,6,5,21,red,36,2.940540,14.745833,0
215,11.814114,185.509642,19,18,10,black,36,2.926381,15.416667,0
216,12.495700,303.741918,31,29,18,red,35,2.790471,15.166667,0
217,12.069932,315.103411,32,29,18,red,34,2.737031,14.787500,0
218,12.104375,146.254166,15,16,8,black,1,2.999045,14.887500,0
219,11.811917,176.793810,18,23,1,red,5,3.117741,15.725000,0
220,12.313595,353.347020,36,31,7,red,32,2.775063,14.100000,0
